"","ID","C.1","C.2","C.3","T.1","T.2","T.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","10038",950,504,253,109,62,26,2.87663055659346,3.76738626635036,6.74505994994128,8.57016395819758e-05,0.0249436889860395,1.90590163513158
"2","10250",3422,3217,963,410,190,51,3.49685019650106,5.58746947142014,6.36532026443187,0.000132759718291849,0.0249436889860395,1.53833494255422
"3","1050",1040,249,233,2137,2382,873,-2.25970169565508,6.0304332796124,-7.28421399413485,4.73923839419089e-05,0.0249436889860395,2.52376423958771
"4","1061",2111,1264,512,266,95,74,2.96525670199105,4.91385528427198,6.50772329349797,0.000112433193362966,0.0249436889860395,1.69369005156394
"5","10700",3498,2012,934,403,275,243,2.49128602157398,5.930697769733,6.46377219827178,0.000118318791920282,0.0249436889860395,1.647871796241
"6","10819",1211,371,206,77,59,17,3.13304230081288,3.508125138909,7.43152009409291,4.05367076003642e-05,0.0249436889860395,2.52777774466741
"7","1088",3002,1374,765,406,293,148,2.29406817294497,5.65237937201818,7.19958778813975,5.18985021582322e-05,0.0249436889860395,2.43445699217896
"8","10987",1218,847,471,88,81,80,3.13124601188364,4.38084253722805,6.52893006708681,0.000109708241212234,0.0249436889860395,1.70621659720719
"9","11343",5701,2330,760,534,200,120,2.97661991695124,5.8559130887949,6.55612879937079,0.000106318324657785,0.0249436889860395,1.75122828220335
"10","1135",3771,1839,749,395,273,124,2.65173727685824,5.70624479422638,7.45877129313351,3.93917079585394e-05,0.0249436889860395,2.69179678789558
"11","11368",761,208,198,1391,1326,595,-1.9119789704797,5.53702023916947,-6.34134316084196,0.000136560674093748,0.0249436889860395,1.50955529995528
"12","11491",11385,11198,3894,1321,1074,388,3.08165037546408,7.69517702743742,7.17674069631707,5.31940258843075e-05,0.0249436889860395,2.41553128048185
"13","11596",1906,747,245,87,36,50,3.59776688717832,3.99336625651798,6.68370590842887,9.18730664674879e-05,0.0249436889860395,1.84400684159907
"14","1393",1010,379,154,41,28,34,3.45748128937793,3.23590953308448,6.80490107623771,8.01162316514469e-05,0.0249436889860395,1.90576700501822
"15","1410",3081,557,1648,18220,17218,5502,-3.28180210131326,8.38812202152876,-6.59303933396242,0.000101899501713585,0.0249436889860395,1.79106691293562
"16","1519",120,20,80,944,744,231,-3.54183097041239,3.85974870228514,-6.72162633535355,8.80036194187297e-05,0.0249436889860395,1.88931225913157
"17","1549",4877,1809,1282,689,411,214,2.30843991450072,6.25596074105266,7.51241661898791,3.72398767265169e-05,0.0249436889860395,2.75241315824997
"18","1671",11761,4562,2320,1821,953,313,2.39657997401597,7.35944431638348,6.36241270960312,0.000133214431084061,0.0249436889860395,1.52983016697122
"19","2095",4418,805,1344,11106,10330,3926,-2.3872427645964,8.19123894139174,-6.43366516738027,0.000122544132601259,0.0249436889860395,1.61157283228321
"20","2277",3052,1548,769,406,207,78,2.7820489097377,5.44960652793268,7.18594686209431,5.2667788648057e-05,0.0249436889860395,2.41455900408461
"21","239",2377,563,563,5240,9743,2417,-2.65300359149091,7.43591952077682,-7.1278639520549,5.60860303010048e-05,0.0249436889860395,2.3654942658328
"22","2631",23951,7957,4561,2407,1189,370,3.01344981256532,7.98712341426985,7.65494985908309,3.2123320909055e-05,0.0249436889860395,2.89332908484364
"23","2690",8106,13166,3337,743,374,291,3.87366966978511,7.15451555639419,6.78788019138598,8.16633038183153e-05,0.0249436889860395,2.00452727059298
"24","2743",1070,482,269,103,74,47,2.68118865581177,3.96897289135056,7.06074078052869,6.03417668121926e-05,0.0249436889860395,2.24000227213714
"25","2980",7802,1398,396,6,22,27,6.77614039246274,3.71049090758327,6.67040165344432,9.32743686722655e-05,0.0249436889860395,1.61958847076421
"26","3303",10887,6790,3382,1634,1137,677,2.35504782402575,7.72877560395098,6.8001211225136,8.05474343615772e-05,0.0249436889860395,2.01772066784049
"27","3309",7029,3340,1364,943,635,238,2.38511378274723,6.71156907472218,6.78381867713406,8.20372701115999e-05,0.0249436889860395,2.00015024433967
"28","3352",1025,619,161,20,9,2,5.56519188734907,2.30310013379681,6.61899549046641,9.89122915020821e-05,0.0249436889860395,1.2982172497406
"29","3720",1441,1765,978,131,49,54,4.11067419962729,4.65480579809127,6.40006000274948,0.000127455720332294,0.0249436889860395,1.56262296046051
"30","4147",116,53,29,0,0,0,6.59342102265534,-1.20549553884421,7.89469872349441,2.51698009736818e-05,0.0249436889860395,1.33887873593572
"31","4729",3711,660,688,236,131,64,3.01323978756781,4.97784790890969,7.74393654056774,2.93228253239917e-05,0.0249436889860395,2.93731513378411
"32","490",5059,2135,870,391,237,95,3.11316078843266,5.74860823151585,8.33651982799903,1.62937412049766e-05,0.0249436889860395,3.49831285644914
"33","5398",2282,2689,986,214,208,86,3.34658887546819,5.44296548071385,6.57490964890653,0.000104044355756863,0.0249436889860395,1.76995862994526
"34","5422",1359,393,424,2964,2253,1152,-1.90535582902264,6.47991790717077,-6.28270724816712,0.000146365125058225,0.0249436889860395,1.43815821905672
"35","5430",53,22,14,0,0,0,5.4477040067103,-1.77166138927069,6.39935819598606,0.000127560555238919,0.0249436889860395,0.39858154301111
"36","5475",2612,1026,433,195,117,88,2.88745779512611,4.89141654960981,7.4096886041982,4.14803120239151e-05,0.0249436889860395,2.62125621179548
"37","5828",1245,456,195,59,30,28,3.56910000587153,3.44419680918091,7.48464636213206,3.83372587849738e-05,0.0249436889860395,2.55096762180902
"38","6038",6695,1409,846,3,31,4,7.83758323602907,3.35476675573118,9.07514152899135,8.19230852069356e-06,0.0249436889860395,2.92696722761128
"39","6048",1428,529,333,155,120,54,2.44169432142457,4.35848169396138,7.23140639138495,5.01514538451779e-05,0.0249436889860395,2.43213593467732
"40","6985",110,45,23,0,0,0,6.41269243641252,-1.31183056036913,7.69151207072593,3.09386630232933e-05,0.0249436889860395,1.2213424246515
"41","72",1125,817,366,104,52,58,3.20994163071693,4.14996576763688,6.44176981951761,0.000121390736642552,0.0249436889860395,1.60448959553703
"42","7724",2762,664,367,161,98,39,3.12030525263739,4.47823968116849,7.68796825142626,3.10513632535517e-05,0.0249436889860395,2.85508194281977
"43","8109",11004,3587,2245,1419,760,526,2.22822494373163,7.28806366304313,6.91078431977658,7.11830967226187e-05,0.0249436889860395,2.13678587034268
"44","818",1949,367,833,6747,7142,2930,-2.84229163305199,7.41192329146698,-6.71379687266563,8.87877243085517e-05,0.0249436889860395,1.92373706767766
"45","857",14030,4316,2929,1997,1460,470,2.13018314745222,7.66689528998196,6.72531459637662,8.76368709983747e-05,0.0249436889860395,1.93619949421962
"46","902",1431,318,566,3793,4319,1822,-2.50322627765083,6.83679829666444,-6.61183661691913,9.97265188183694e-05,0.0249436889860395,1.81141430754672
"47","9195",845,263,128,61,18,10,3.49905727713608,2.76566008758425,6.34652941807955,0.000135728581391586,0.0249436889860395,1.38202592435585
"48","9394",2992,473,447,5769,5468,1818,-2.36194745830467,7.20975397347535,-6.62023190631223,9.87724019141242e-05,0.0249436889860395,1.82035476495153
"49","9859",924,159,302,2106,3096,963,-2.59025454377276,6.03977663823733,-6.28951238218974,0.000145188848137872,0.0249436889860395,1.44940399918262
"50","9973",1835,977,474,233,171,117,2.33398088053615,5.01829426788005,6.37198368524952,0.000131723994791963,0.0249436889860395,1.54591667548684
